GEOID,year,total_wind_score
08043,2004,0
08045,2004,0
08047,2004,0
08049,2004,0
08051,2004,0
08053,2004,0
08055,2004,0
08057,2004,0
08059,2004,0
08061,2004,0
08063,2004,0
08065,2004,0
08067,2004,0
08069,2004,0
08071,2004,0
08073,2004,0
08075,2004,0
08077,2004,0
08079,2004,0
08081,2004,0
08083,2004,0
08085,2004,0
08087,2004,0
08089,2004,0
08091,2004,0
08093,2004,0
08095,2004,0
08097,2004,0
08099,2004,0
08101,2004,0
08103,2004,0
08105,2004,0
08107,2004,0
08109,2004,0
08111,2004,0
08113,2004,0
08115,2004,0
08117,2004,0
08119,2004,0
08121,2004,0
08123,2004,0
08125,2004,0
09110,2004,0
09120,2004,0
09130,2004,0
09140,2004,0
09150,2004,0
09160,2004,0
09170,2004,0
09180,2004,0
09190,2004,0
10001,2004,14.827498863390035
10003,2004,0
10005,2004,29.114852619153552
11001,2004,0
12001,2004,291.1112476817266
12003,2004,199.6522271418196
12005,2004,161.99896448474271
12007,2004,253.18050393546147
12009,2004,483.4076697362932
12011,2004,463.73072713142454
12013,2004,161.2039363153667
12015,2004,433.09703381756015
12017,2004,369.359907758378
12019,2004,263.6972185276404
12021,2004,371.3505902522347
12023,2004,219.56124825661118
12027,2004,437.0079328311894
12029,2004,303.7868338765182
12031,2004,207.73596196441704
12033,2004,192.99274546326185
12035,2004,375.4881953145288
12037,2004,224.95165134015588
12039,2004,176.67276622394067
12041,2004,292.3990967291886
12043,2004,506.752030961074
12045,2004,176.3598515043588
12047,2004,188.56477903401623
12049,2004,491.20841708196264
12051,2004,445.4214775318942
12053,2004,404.54884281184707
12055,2004,515.9430565190646
12057,2004,389.7697388638914
12059,2004,136.15997983718404
12061,2004,657.7160193924149
12063,2004,168.14133290061508
12065,2004,206.45636669082023
12067,2004,272.2852633996854
12069,2004,404.04103607476884
12071,2004,410.38269139266055
12073,2004,207.072011161638
12075,2004,307.42466005981345
12077,2004,198.35695933940843
12079,2004,212.7587468073493
12081,2004,359.7728276241246
12083,2004,340.75874069451044
12085,2004,795.8633898497723
12086,2004,326.206256588426
12087,2004,210.02073911697693
12089,2004,143.29448161627985
12091,2004,147.8611768700444
12093,2004,625.9427223526843
12095,2004,481.2946432092868
12097,2004,539.211697757204
12099,2004,653.0881309231278
12101,2004,404.79983647198003
12103,2004,347.9848979513848
12105,2004,519.3103847677937
12107,2004,296.8639119178068
12109,2004,279.4200528941168
12111,2004,793.2218971075589
12113,2004,175.6616668379934
12115,2004,331.2488488049844
12117,2004,452.10791907514545
12119,2004,394.4005105067493
12121,2004,265.6529675711576
12123,2004,262.51733203881076
12125,2004,227.4801276217317
12127,2004,381.94086340460933
12129,2004,210.52556650522757
12131,2004,149.58298399555864
12133,2004,152.7643126626376
13001,2004,68.00000002221329
13003,2004,67.99999996740776
13005,2004,68.00000002125077
13007,2004,102.00000002559281
13009,2004,25.030412539052712
13011,2004,0
13013,2004,0
13015,2004,0
13017,2004,67.99999995726964
13019,2004,68.38715354723014
13021,2004,34.00000000334947
13023,2004,33.99999998994913
13025,2004,68.36478297778416
13027,2004,147.77139533786837
13029,2004,0.10001962689241689
13031,2004,1.2333564202367393
13033,2004,0
13035,2004,0.22415609606139286
13037,2004,101.99999996420743
13039,2004,87.4831176747138
13043,2004,27.62074451799825
13045,2004,0
13047,2004,0
13049,2004,122.09041668325577
13051,2004,1.1069585456293003
13053,2004,34.000000007402384
13055,2004,0
