FIPS,Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
22017,GovAid,20645000,22590000,22514000,23647000,24646000,28763000,27551000,26649000,25950000,27591000,30917000,29846000,31793000,31765000
22019,GovAid,15111000,16604000,16635000,17619000,18408000,21571000,20283000,19896000,19541000,20917000,23458000,22617000,24146000,24962000
22021,GovAid,832000,903000,905000,947000,987000,1136000,1073000,1038000,1016000,1073000,1186000,1135000,1198000,1194000
22023,GovAid,834000,910000,908000,957000,995000,1160000,860000,813000,784000,773000,853000,790000,835000,796000
22025,GovAid,875000,949000,935000,972000,996000,1135000,1086000,1058000,1034000,1078000,1178000,1121000,1187000,1186000
22027,GovAid,1317000,1431000,1408000,1474000,1515000,1751000,1660000,1597000,1537000,1614000,1767000,1668000,1766000,1708000
22029,GovAid,1647000,1795000,1788000,1866000,1922000,2219000,2138000,2060000,2014000,2155000,2400000,2304000,2407000,2418000
22031,GovAid,2125000,2332000,2349000,2479000,2607000,3046000,2897000,2841000,2783000,2926000,3279000,3160000,3394000,3402000
22033,GovAid,33628000,36866000,36869000,38938000,40659000,47447000,47156000,45803000,44543000,47624000,53241000,51186000,54674000,55922000
22035,GovAid,703000,750000,729000,751000,763000,863000,795000,762000,726000,758000,827000,785000,825000,853000
22037,GovAid,1562000,1716000,1702000,1783000,1837000,2125000,2042000,1962000,1911000,2023000,2203000,2106000,2211000,2216000
22039,GovAid,2834000,3096000,3078000,3206000,3324000,3894000,3721000,3621000,3469000,3649000,4039000,3861000,4098000,4108000
22041,GovAid,1729000,1882000,1872000,1970000,2043000,2354000,2228000,2171000,2114000,2227000,2489000,2385000,2512000,2529000
22043,GovAid,1558000,1700000,1699000,1788000,1877000,2214000,2136000,2071000,2026000,2158000,2404000,2313000,2461000,2469000
22045,GovAid,6041000,6634000,6636000,6978000,7242000,8448000,8076000,7861000,7656000,8089000,8965000,8637000,9222000,9310000
22047,GovAid,2529000,2776000,2771000,2889000,2972000,3445000,3347000,3216000,3148000,3288000,3645000,3495000,3714000,3683000
22049,GovAid,1276000,1405000,1395000,1469000,1525000,1771000,1699000,1637000,1604000,1691000,1892000,1822000,1928000,1911000
22051,GovAid,38027000,41640000,41704000,43981000,45923000,53486000,47273000,46597000,45237000,47871000,53223000,51268000,54598000,55316000
22053,GovAid,2615000,2848000,2839000,2985000,3100000,3624000,3463000,3350000,3269000,3460000,3851000,3693000,3911000,3962000
22055,GovAid,15670000,17333000,17603000,18721000,19704000,23273000,22823000,22430000,22180000,23944000,26900000,26093000,28113000,28759000
22057,GovAid,7434000,8206000,8298000,8821000,9244000,10798000,10406000,10152000,9922000,10549000,11790000,11353000,12097000,12200000
