FIPS,year,co_year,County_name,storm,hit_year,treatment,NONPROFITS,CONT,EXPS,GRPROF,INVINC,OTHINC,TOTREV,TOTASS,LAND_AREA,pop,density,concentration,wealth,distribution,output,use,dependence,post,tpost,fixedcont
48363,2003,48363-2003,Palo Pinto County,IKE,2008,0,47,19544023,17688136,895625,173160,105871,24445608,39486049,951.79,27145,0.0017314422545588507,0.2919873245812585,840128.7021276596,16.578108645593467,651.6167249953951,415830.27659574465,79.94901579048474,0,0,3798307
48363,2004,48363-2004,Palo Pinto County,IKE,2008,0,47,19008851,21886381,876972,258781,205453,25195365,41549410,951.79,27086,0.0017352137635678949,0.2887987875686421,884030,15.77004604146733,808.0329690615077,404443.6382978723,75.44582505552113,0,0,3798307
48363,2005,48363-2005,Palo Pinto County,IKE,2008,0,50,20027025,26477932,1044530,245060,122254,26692957,45016609,951.79,27255,0.00183452577508714,0.2864,900332.18,16.711019022591515,971.4889745000917,400540.5,75.02737519863386,0,0,3798307
48363,2006,48363-2006,Palo Pinto County,IKE,2008,0,51,4006793,10432231,1079531,399161,183609,12066616,40341082,951.79,27557,0.001850709438618137,0.2918404164078905,791001.6078431372,11.93547712782636,378.56918387342597,78564.56862745098,33.20560627768382,0,0,3798307
48363,2007,48363-2007,Palo Pinto County,IKE,2008,0,45,3798307,10195616,1031080,586552,119065,11829513,39877809,951.79,27344,0.0016456992393212406,0.28343531937734834,886173.5333333333,12.6712309236177,372.8648332358104,84406.82222222222,32.10873516094872,0,0,3798307
48363,2009,48363-2009,Palo Pinto County,IKE,2008,0,58,4632466,12322122,1283319,336194,370650,11815272,51304408,951.79,27567,0.002103964885551565,0.2744748315497424,884558.7586206896,13.602580406297289,446.9881379910763,79870.10344827586,39.20744270635496,1,1,3798307
48363,2010,48363-2010,Palo Pinto County,IKE,2008,0,57,5900047,11883184,1012803,200264,609122,12874677,45364785,951.79,28095,0.0020288307528029898,0.23668821175746385,795873.4210526316,14.51966163504208,422.96437088449903,103509.59649122808,45.82675744020607,1,2,3798307
48363,2011,48363-2011,Palo Pinto County,IKE,2008,0,56,6410457,11351981,959400,155947,227266,12865658,49733195,951.79,28062,0.0019955812130282944,0.2340561224489796,888092.7678571428,16.855568225009502,404.53214311168125,114472.44642857143,49.82611072049327,1,3,3798307
48363,2012,48363-2012,Palo Pinto County,IKE,2008,0,51,6127862,11820661,838568,291754,301326,12770566,51475516,951.79,27867,0.0018301216492625687,0.2801719618328615,1009323.8431372549,6.975450052790816,424.1813255822299,120154.1568627451,47.98426318770836,1,4,3798307
48363,2013,48363-2013,Palo Pinto County,IKE,2008,0,48,5507532,11881971,720729,203184,276595,12880045,51293203,951.79,27886,0.0017212938392024671,0.2532749368686869,1068608.3958333333,7.277617455899174,426.0909058308829,114740.25,42.76019221982532,1,5,3798307
48365,2000,48365-2000,Panola County,IKE,2008,1,22,283363,15324458,88739,144933,120095,14801279,12737476,801.748,22757,9.667355099529815e-4,0.5206611570247933,578976.1818181818,14.361621441843988,673.3953508810475,12880.136363636364,1.914449420215645,0,0,1478713
48365,2001,48365-2001,Panola County,IKE,2008,1,25,1047382,16536022,195295,164280,139950,17591286,14755887,801.748,22718,0.0011004489831851396,0.5519999999999999,590235.48,11.261655303206592,727.8819438330839,41895.28,5.953981988582301,0,0,1478713
48365,2002,48365-2002,Panola County,IKE,2008,1,28,489858,18081846,161371,125741,158678,18620516,16535371,801.748,22845,0.0012256511271613044,0.41326530612244894,590548.9642857143,10.339206231454009,791.5012475377545,17494.928571428572,2.630743423007182,0,0,1478713
48365,2003,48365-2003,Panola County,IKE,2008,1,30,823514,19533570,139328,122331,162591,20683576,18041534,801.748,22864,0.001312106368089573,0.3822222222222222,601384.4666666667,11.115863291772271,854.3373862841148,27450.466666666667,3.9814875338771207,0,0,1478713
48365,2004,48365-2004,Panola County,IKE,2008,1,33,995567,21950648,151314,96037,177356,22976454,17871707,801.748,22677,0.0014552189443048022,0.36639118457300274,541566.8787878788,11.464707517702662,967.9696608898885,30168.696969696968,4.332988023304205,0,0,1478713
48365,2005,48365-2005,Panola County,IKE,2008,1,35,1243049,22365713,218670,132602,275378,23888909,20673030,801.748,22867,0.0015305899330913544,0.3191836734693877,590658,12.191834056406044,978.0781475488695,35515.68571428571,5.203456549648207,0,0,1478713
48365,2006,48365-2006,Panola County,IKE,2008,1,38,1961668,26539426,201198,204958,222752,27276627,22485312,801.748,23145,0.0016418232879671635,0.2823407202216066,591718.7368421053,18.957154496147492,1146.6591488442427,51622.84210526316,7.191754317716777,0,0,1478713
48365,2007,48365-2007,Panola County,IKE,2008,1,40,1478713,28702114,249534,288440,182102,29989389,26116469,801.748,23028,0.0017370158068438423,0.2868478260869565,652911.725,21.012626562756463,1246.4006426958485,36967.825,4.930787352820025,0,0,1478713
48365,2009,48365-2009,Panola County,IKE,2008,1,43,1929656,36344655,106221,195171,468834,38668480,32801187,801.748,23310,0.0018447018447018447,0.2632990805840995,762818.3023255814,12.740623171664744,1559.1872586872587,44875.72093023256,4.990255629391173,1,1,1478713
48365,2010,48365-2010,Panola County,IKE,2008,1,39,14220437,6836990,71549,738274,1277520,20710352,31690973,801.748,23772,0.001640585562847047,0.2879398565017294,812589.0512820513,12.220026403168385,287.6068483930675,364626.58974358975,68.66342493840762,1,2,1478713
